Entry No;Booking date;Ledger account;Amount;Posted by;Narration
a_143;02/01/2023;Cost of merchandise, 19% input tax;180.0;Bob;Garden Hose
a_143;02/01/2023;Deductible input tax, 19%;34.2;Bob;Garden Hose
a_143;02/01/2023;Trade payables;-214.2;Bob;Garden Hose
a_327;02/01/2023;Cost of merchandise, 19% input tax;713.9;Bob;Leaf Blower
a_327;02/01/2023;Deductible input tax, 19%;135.64;Bob;Leaf Blower
a_327;02/01/2023;Trade payables;-849.54;Bob;Leaf Blower
a_643;02/01/2023;Trade payables;214.2;Bob;Garden Hose
a_643;02/01/2023;Bank (Postbank) — main account;-214.2;Bob;Garden Hose
a_827;02/01/2023;Trade payables;849.54;Bob;Leaf Blower
a_827;02/01/2023;Bank (Postbank) — main account;-849.54;Bob;Leaf Blower
a_932;02/01/2023;Trade payables;1449.42;David;Hedge Trimmer
a_932;02/01/2023;Bank (Postbank) — main account;-1449.42;David;Hedge Trimmer
b_141;02/01/2023;Cost of merchandise, 19% input tax;1.24;David;Gardening Gloves
b_141;02/01/2023;Deductible input tax, 19%;0.24;David;Gardening Gloves
b_141;02/01/2023;Trade payables;-1.48;David;Gardening Gloves
b_236;02/01/2023;Cost of merchandise, 19% input tax;20.0;Alice;Garden Hose
b_236;02/01/2023;Deductible input tax, 19%;3.8;Alice;Garden Hose
b_236;02/01/2023;Trade payables;-23.8;Alice;Garden Hose
b_277;02/01/2023;Cost of merchandise, 19% input tax;186.8;Max;Lawn Mower
b_277;02/01/2023;Deductible input tax, 19%;35.49;Max;Lawn Mower
b_277;02/01/2023;Trade payables;-222.29;Max;Lawn Mower
b_28;02/01/2023;Cost of merchandise, 19% input tax;64.9;Fred;Leaf Blower
b_28;02/01/2023;Deductible input tax, 19%;12.33;Fred;Leaf Blower
b_28;02/01/2023;Trade payables;-77.23;Fred;Leaf Blower
b_636;02/01/2023;Trade payables;23.8;Alice;Garden Hose
b_636;02/01/2023;Cash-in-hand;-23.8;Alice;Garden Hose
c_132;02/01/2023;Trade receivables;157.66;David;Wheelbarrow
